english,hindi,bhojpuri
anti-spoofing,एंटी-स्पूफिंग,छल-विरोधी
countermeasure,प्रतिउपाय,बचाव का तरीका
EER,समान त्रुटि दर,बराबर गलती दर
LFCC,रैखिक आवृत्ति सेप्स्ट्रल,रेखीय आवृत्ति लक्षण
CQCC,स्थिर-Q सेप्स्ट्रल,स्थिर-Q लक्षण
classifier,वर्गीकरणकर्ता,बाँटने वाला
threshold,सीमा,हद
false positive,गलत सकारात्मक,गलत हाँ
false negative,गलत नकारात्मक,गलत ना
precision,परिशुद्धता,सटिकता
recall,पुनःस्मरण,याद करल
F1 score,एफ1 स्कोर,एफ1 अंक
confusion matrix,भ्रम मैट्रिक्स,उलझन तालिका
ablation study,अपकर्षण अध्ययन,हटाकर पढ़ाई
hyperparameter,हाइपरपैरामीटर,ऊपरी मान
learning rate,सीखने की दर,सीखने की रफ्तार
momentum,संवेग,ताकत
regularization,नियमितीकरण,नियम लगाव
overfitting,अतिसामंजस्य,ज़्यादा ढलाव
underfitting,न्यूनसामंजस्य,कम ढलाव
validation,सत्यापन,जाँच
cross-validation,क्रॉस-वैलिडेशन,बारी-बारी जाँच
convergence,अभिसरण,एक बिंदु पर आनाई
divergence,अपसरण,दूर जानाई
initialization,प्रारंभीकरण,शुरुआत करल
random seed,यादृच्छिक बीज,अनियमित शुरुआत
GPU,जीपीयू,ग्राफ़िक्स प्रोसेसर
CPU,सीपीयू,मुख्य प्रोसेसर
memory,स्मृति,याददाश्त
computation,गणना,हिसाब
inference,अनुमान,अंदाज़
deployment,तैनाती,उपयोग में लगाव
real-time,वास्तविक समय,असली समय
latency,विलंब,देरी
throughput,थ्रूपुट,काम की मात्रा
benchmark,बेंचमार्क,तुलना मापदंड
baseline,आधार रेखा,शुरुआती नतीजा
state-of-the-art,अत्याधुनिक,सबसे नया
evaluation,मूल्यांकन,जाँच
metric,मापदंड,माप
performance,प्रदर्शन,काम
improvement,सुधार,बेहतरी
comparison,तुलना,मिलान
experiment,प्रयोग,परीक्षण
result,परिणाम,नतीजा
conclusion,निष्कर्ष,खुलासा
limitation,सीमा,कमी
future work,भविष्य कार्य,आगे के काम
Bhojpuri,भोजपुरी,भोजपुरी
dialect,बोली,बोली
regional language,क्षेत्रीय भाषा,इलाके के बोली
script,लिपि,अक्षर
Devanagari,देवनागरी,देवनागरी
romanization,रोमनाइज़ेशन,रोमन लिखाई
transliteration,लिप्यंतरण,एक लिपि से दूसरे
translation,अनुवाद,अनुवाद
semantic,अर्थपूर्ण,मतलब वाला
parallel corpus,समानांतर कोष,जोड़ी में लिखाई
dictionary,शब्दकोश,शब्द-भंडार
lecture,व्याख्यान,पढ़ाई-लिखाई
professor,प्रोफेसर,गुरु
student,छात्र,छात्र
classroom,कक्षा,पाठशाला
microphone,माइक्रोफोन,आवाज़ पकड़ने वाला
recording,रिकॉर्डिंग,आवाज़ बंधाई
background noise,पृष्ठभूमि शोर,पिछले के कोलाहल
reverb,अनुध्वनि,गूँज
denoising,शोर-निवारण,कोलाहल हटाव
enhancement,संवर्धन,बेहतर करल
preprocessing,पूर्व-प्रसंस्करण,पहिले तैयारी
pipeline,पाइपलाइन,काम की कड़ी
module,मॉड्यूल,हिस्सा
framework,ढाँचा,तरीका
library,पुस्तकालय,औज़ार
PyTorch,पाईटॉर्च,PyTorch
Whisper,विस्पर,Whisper
Wav2Vec,वेव2वेक,Wav2Vec
VITS,विट्स,VITS
HiFi-GAN,हाईफाई-गैन,HiFi-GAN
SpeechBrain,स्पीचब्रेन,SpeechBrain
IndicTrans,इंडिकट्रांस,IndicTrans
DTW,डीटीडब्ल्यू,DTW
IPA,आईपीए,IPA
GitHub,गिटहब,GitHub
